componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,476,1141,784,BRC0144H,Nome não encontrado
Energia,kcal,113,271,186,BRC0144H,Nome não encontrado
Umidade,g,"68,7",164,113,BRC0144H,Nome não encontrado
Carboidrato total,g,"21,8","52,4","36,0",BRC0144H,Nome não encontrado
Carboidrato disponível,g,"21,8","52,4","36,0",BRC0144H,Nome não encontrado
Proteína,g,"2,84","6,81","4,68",BRC0144H,Nome não encontrado
Lipídios,g,"5,86","14,1","9,66",BRC0144H,Nome não encontrado
Fibra alimentar,g,,,,BRC0144H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0144H,Nome não encontrado
Cinzas,g,"0,76","1,82","1,25",BRC0144H,Nome não encontrado
Colesterol,mg,"22,8","54,8","37,7",BRC0144H,Nome não encontrado
Ácidos graxos saturados,g,"3,22","7,73","5,31",BRC0144H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,47","3,53","2,43",BRC0144H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,48","0,33",BRC0144H,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0144H,Nome não encontrado
Cálcio,mg,"97,0",232,160,BRC0144H,Nome não encontrado
Ferro,mg,"0,09","0,22","0,15",BRC0144H,Nome não encontrado
Sódio,mg,"75,3",180,124,BRC0144H,Nome não encontrado
Magnésio,mg,"14,3","34,4","23,6",BRC0144H,Nome não encontrado
Fósforo,mg,"76,2",182,125,BRC0144H,Nome não encontrado
Potássio,mg,141,339,233,BRC0144H,Nome não encontrado
Manganês,mg,"0,05","0,11","0,07",BRC0144H,Nome não encontrado
Zinco,mg,"0,47","1,13","0,78",BRC0144H,Nome não encontrado
Cobre,mg,"0,06","0,14","0,10",BRC0144H,Nome não encontrado
Selênio,mcg,"2,98","7,14","4,91",BRC0144H,Nome não encontrado
Vitamina A (RE),mcg,"39,4","94,5","65,0",BRC0144H,Nome não encontrado
Vitamina A (RAE),mcg,"38,9","93,3","64,1",BRC0144H,Nome não encontrado
Vitamina D,mcg,"0,01","0,03","0,02",BRC0144H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,12","0,09",BRC0144H,Nome não encontrado
Tiamina,mg,"0,04","0,08","0,06",BRC0144H,Nome não encontrado
Riboflavina,mg,"0,19","0,46","0,31",BRC0144H,Nome não encontrado
Niacina,mg,"0,75","1,81","1,24",BRC0144H,Nome não encontrado
Vitamina B6,mg,"0,02","0,04","0,02",BRC0144H,Nome não encontrado
Vitamina B12,mcg,"0,31","0,74","0,51",BRC0144H,Nome não encontrado
Vitamina C,mg,"0,36","0,87","0,60",BRC0144H,Nome não encontrado
Equivalente de folato,mcg,"4,56","11,0","7,53",BRC0144H,Nome não encontrado
Sal de adição,g,,,,BRC0144H,Nome não encontrado
Açúcar de adição,g,,,,BRC0144H,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0144H,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0144H,Nome não encontrado
Proteína animal,g,-,-,-,BRC0144H,Nome não encontrado
