componente,unidade,Valor por 100g,Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,198,59,BRC0196B,Nome não encontrado
Energia,kcal,48,14,BRC0196B,Nome não encontrado
Umidade,g,"90,1","27,0",BRC0196B,Nome não encontrado
Carboidrato total,g,"5,83","1,75",BRC0196B,Nome não encontrado
Carboidrato disponível,g,"4,19","1,26",BRC0196B,Nome não encontrado
Proteína,g,"0,82","0,24",BRC0196B,Nome não encontrado
Lipídios,g,"2,71","0,81",BRC0196B,Nome não encontrado
Fibra alimentar,g,"1,64","0,49",BRC0196B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0196B,Nome não encontrado
Cinzas,g,"0,58","0,18",BRC0196B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0196B,Nome não encontrado
Ácidos graxos saturados,g,"0,41","0,12",BRC0196B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,91","0,57",BRC0196B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,32","0,09",BRC0196B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0196B,Nome não encontrado
Cálcio,mg,"17,0","5,11",BRC0196B,Nome não encontrado
Ferro,mg,"0,36","0,11",BRC0196B,Nome não encontrado
Sódio,mg,130,"39,0",BRC0196B,Nome não encontrado
Magnésio,mg,"10,7","3,22",BRC0196B,Nome não encontrado
Fósforo,mg,"20,2","6,07",BRC0196B,Nome não encontrado
Potássio,mg,151,"45,4",BRC0196B,Nome não encontrado
Manganês,mg,"0,20","0,06",BRC0196B,Nome não encontrado
Zinco,mg,"0,29","0,09",BRC0196B,Nome não encontrado
Cobre,mg,"0,05","0,02",BRC0196B,Nome não encontrado
Selênio,mcg,"0,12","0,04",BRC0196B,Nome não encontrado
Vitamina A (RE),mcg,"51,6","15,5",BRC0196B,Nome não encontrado
Vitamina A (RAE),mcg,"25,8","7,74",BRC0196B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0196B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,80","0,24",BRC0196B,Nome não encontrado
Tiamina,mg,"0,05","0,02",BRC0196B,Nome não encontrado
Riboflavina,mg,"0,01","0,00",BRC0196B,Nome não encontrado
Niacina,mg,"0,02","0,01",BRC0196B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC0196B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0196B,Nome não encontrado
Vitamina C,mg,"2,85","0,86",BRC0196B,Nome não encontrado
Equivalente de folato,mcg,"13,1","3,92",BRC0196B,Nome não encontrado
Sal de adição,g,"0,32","0,10",BRC0196B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0196B,Nome não encontrado
Gordura de adição,g,-,-,BRC0196B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0196B,Nome não encontrado
Proteína animal,g,-,-,BRC0196B,Nome não encontrado
