componente,unidade,Valor por 100g,Porção Média (120 g),codigo_alimento,nome_alimento
Energia,kJ,632,758,BRC0158F,Nome não encontrado
Energia,kcal,151,181,BRC0158F,Nome não encontrado
Umidade,g,"70,3","84,3",BRC0158F,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0158F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0158F,Nome não encontrado
Proteína,g,"21,2","25,5",BRC0158F,Nome não encontrado
Lipídios,g,"7,34","8,81",BRC0158F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0158F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0158F,Nome não encontrado
Cinzas,g,"1,15","1,38",BRC0158F,Nome não encontrado
Colesterol,mg,"48,1","57,7",BRC0158F,Nome não encontrado
Ácidos graxos saturados,g,"2,69","3,23",BRC0158F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,03","3,64",BRC0158F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,02","1,22",BRC0158F,Nome não encontrado
Ácidos graxos trans,g,,,BRC0158F,Nome não encontrado
Cálcio,mg,"6,11","7,33",BRC0158F,Nome não encontrado
Ferro,mg,"0,53","0,64",BRC0158F,Nome não encontrado
Sódio,mg,"54,3","65,1",BRC0158F,Nome não encontrado
Magnésio,mg,"24,1","28,9",BRC0158F,Nome não encontrado
Fósforo,mg,195,234,BRC0158F,Nome não encontrado
Potássio,mg,334,401,BRC0158F,Nome não encontrado
Manganês,mg,traços,traços,BRC0158F,Nome não encontrado
Zinco,mg,"1,43","1,72",BRC0158F,Nome não encontrado
Cobre,mg,"0,07","0,08",BRC0158F,Nome não encontrado
Selênio,mcg,,,BRC0158F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0158F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0158F,Nome não encontrado
Vitamina D,mcg,"0,39","0,47",BRC0158F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,13","0,15",BRC0158F,Nome não encontrado
Tiamina,mg,"0,90","1,08",BRC0158F,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0158F,Nome não encontrado
Niacina,mg,"2,65","3,18",BRC0158F,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0158F,Nome não encontrado
Vitamina B12,mcg,"0,54","0,65",BRC0158F,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0158F,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0158F,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0158F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0158F,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0158F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0158F,Nome não encontrado
Proteína animal,g,"20,9","25,1",BRC0158F,Nome não encontrado
