componente,unidade,Valor por 100g,Colher chá cheia (9.5 g),Colher chá rasa (4 g),Colher sobremesa cheia (26 g),Colher sobremesa rasa (11 g),Colher sopa cheia (34 g),Colher sopa rasa (22 g),Copo americano duplo (320 g),Copo americano pequeno (230 g),codigo_alimento,nome_alimento
Energia,kJ,1125,106,45,292,123,382,247,3600,2587,BRC0016K,Nome não encontrado
Energia,kcal,265,25,10,68,29,90,58,848,609,BRC0016K,Nome não encontrado
Umidade,g,"32,6","3,10","1,30","8,47","3,59","11,1","7,17",104,"75,0",BRC0016K,Nome não encontrado
Carboidrato total,g,"66,5","6,32","2,66","17,3","7,32","22,6","14,6",212,152,BRC0016K,Nome não encontrado
Carboidrato disponível,g,"64,0","6,08","2,56","16,6","7,04","21,7","14,1",204,147,BRC0016K,Nome não encontrado
Proteína,g,"0,35","0,03","0,01","0,09","0,04","0,12","0,08","1,11","0,80",BRC0016K,Nome não encontrado
Lipídios,g,"0,30","0,03","0,01","0,08","0,03","0,10","0,07","0,97","0,69",BRC0016K,Nome não encontrado
Fibra alimentar,g,"2,54","0,24","0,10","0,66","0,28","0,86","0,56","8,13","5,85",BRC0016K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0016K,Nome não encontrado
Cinzas,g,"0,25","0,02","0,01","0,07","0,03","0,09","0,06","0,81","0,58",BRC0016K,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0016K,Nome não encontrado
Ácidos graxos saturados,g,"0,08","0,01","0,00","0,02","0,01","0,03","0,02","0,24","0,17",BRC0016K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,00","0,00","0,00","0,00","0,01","0,00","0,05","0,03",BRC0016K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,01","0,00","0,02","0,01","0,02","0,01","0,19","0,14",BRC0016K,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,,,BRC0016K,Nome não encontrado
Cálcio,mg,"6,72","0,64","0,27","1,75","0,74","2,28","1,48","21,5","15,5",BRC0016K,Nome não encontrado
Ferro,mg,"0,18","0,02","0,01","0,05","0,02","0,06","0,04","0,58","0,42",BRC0016K,Nome não encontrado
Sódio,mg,"28,8","2,74","1,15","7,49","3,17","9,79","6,33","92,1","66,2",BRC0016K,Nome não encontrado
Magnésio,mg,"5,76","0,55","0,23","1,50","0,63","1,96","1,27","18,4","13,2",BRC0016K,Nome não encontrado
Fósforo,mg,"5,76","0,55","0,23","1,50","0,63","1,96","1,27","18,4","13,2",BRC0016K,Nome não encontrado
Potássio,mg,"51,8","4,92","2,07","13,5","5,70","17,6","11,4",165,119,BRC0016K,Nome não encontrado
Manganês,mg,"0,13","0,01","0,01","0,03","0,01","0,04","0,03","0,41","0,29",BRC0016K,Nome não encontrado
Zinco,mg,"0,03","0,00","0,00","0,01","0,00","0,01","0,01","0,09","0,07",BRC0016K,Nome não encontrado
Cobre,mg,"0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,04","0,03",BRC0016K,Nome não encontrado
Selênio,mcg,"0,38","0,04","0,02","0,10","0,04","0,13","0,08","1,23","0,88",BRC0016K,Nome não encontrado
Vitamina A (RE),mcg,"12,6","1,20","0,51","3,28","1,39","4,29","2,78","40,4","29,0",BRC0016K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0016K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0016K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0016K,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0016K,Nome não encontrado
Riboflavina,mg,"0,03","0,00","0,00","0,01","0,00","0,01","0,01","0,08","0,06",BRC0016K,Nome não encontrado
Niacina,mg,"0,04","0,00","0,00","0,01","0,00","0,01","0,01","0,11","0,08",BRC0016K,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,00","0,00","0,00","0,01","0,00","0,06","0,04",BRC0016K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0016K,Nome não encontrado
Vitamina C,mg,"0,86","0,08","0,03","0,22","0,10","0,29","0,19","2,76","1,99",BRC0016K,Nome não encontrado
Equivalente de folato,mcg,"1,92","0,18","0,08","0,50","0,21","0,65","0,42","6,14","4,42",BRC0016K,Nome não encontrado
Sal de adição,g,,,,,,,,,,BRC0016K,Nome não encontrado
Açúcar de adição,g,,,,,,,,,,BRC0016K,Nome não encontrado
Gordura de adição,g,,,,,,,,,,BRC0016K,Nome não encontrado
Proteína vegetal,g,,,,,,,,,,BRC0016K,Nome não encontrado
Proteína animal,g,,,,,,,,,,BRC0016K,Nome não encontrado
