componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,135,270,BRC0112H,Nome não encontrado
Energia,kcal,32,63,BRC0112H,Nome não encontrado
Umidade,g,"91,5",182,BRC0112H,Nome não encontrado
Carboidrato total,g,"5,40","10,8",BRC0112H,Nome não encontrado
Carboidrato disponível,g,"4,61","9,23",BRC0112H,Nome não encontrado
Proteína,g,"2,19","4,38",BRC0112H,Nome não encontrado
Lipídios,g,"0,36","0,72",BRC0112H,Nome não encontrado
Fibra alimentar,g,"0,78","1,56",BRC0112H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0112H,Nome não encontrado
Cinzas,g,"0,58","1,15",BRC0112H,Nome não encontrado
Colesterol,mg,"28,4","56,8",BRC0112H,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,40",BRC0112H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,07","0,14",BRC0112H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,04",BRC0112H,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,02",BRC0112H,Nome não encontrado
Cálcio,mg,105,210,BRC0112H,Nome não encontrado
Ferro,mg,"0,11","0,22",BRC0112H,Nome não encontrado
Sódio,mg,"36,6","73,1",BRC0112H,Nome não encontrado
Magnésio,mg,"9,26","18,5",BRC0112H,Nome não encontrado
Fósforo,mg,"61,7",123,BRC0112H,Nome não encontrado
Potássio,mg,115,230,BRC0112H,Nome não encontrado
Manganês,mg,"0,19","0,37",BRC0112H,Nome não encontrado
Zinco,mg,"0,29","0,58",BRC0112H,Nome não encontrado
Cobre,mg,"0,02","0,05",BRC0112H,Nome não encontrado
Selênio,mcg,"0,03","0,06",BRC0112H,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0112H,Nome não encontrado
Vitamina A (RAE),mcg,"6,45","12,9",BRC0112H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0112H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,11",BRC0112H,Nome não encontrado
Tiamina,mg,"0,03","0,06",BRC0112H,Nome não encontrado
Riboflavina,mg,"0,19","0,37",BRC0112H,Nome não encontrado
Niacina,mg,"1,12","2,25",BRC0112H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0112H,Nome não encontrado
Vitamina B12,mcg,"0,38","0,77",BRC0112H,Nome não encontrado
Vitamina C,mg,"0,04","0,08",BRC0112H,Nome não encontrado
Equivalente de folato,mcg,"3,90","7,81",BRC0112H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0112H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0112H,Nome não encontrado
Gordura de adição,g,-,-,BRC0112H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0112H,Nome não encontrado
Proteína animal,g,-,-,BRC0112H,Nome não encontrado
