componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,549,329,247,548,BRC0417E,Nome não encontrado
Energia,kcal,131,78,58,130,BRC0417E,Nome não encontrado
Umidade,g,"72,2","43,3","32,5","72,2",BRC0417E,Nome não encontrado
Carboidrato total,g,"2,90","1,74","1,30","2,90",BRC0417E,Nome não encontrado
Carboidrato disponível,g,"2,85","1,71","1,28","2,85",BRC0417E,Nome não encontrado
Proteína,g,"18,4","11,0","8,27","18,4",BRC0417E,Nome não encontrado
Lipídios,g,"5,07","3,04","2,28","5,07",BRC0417E,Nome não encontrado
Fibra alimentar,g,"0,05","0,03","0,02","0,05",BRC0417E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0417E,Nome não encontrado
Cinzas,g,"1,48","0,89","0,67","1,48",BRC0417E,Nome não encontrado
Colesterol,mg,"62,2","37,3","28,0","62,2",BRC0417E,Nome não encontrado
Ácidos graxos saturados,g,"1,97","1,18","0,89","1,97",BRC0417E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,56","0,93","0,70","1,56",BRC0417E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,21","0,72","0,54","1,21",BRC0417E,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0417E,Nome não encontrado
Cálcio,mg,"88,4","53,0","39,8","88,4",BRC0417E,Nome não encontrado
Ferro,mg,"0,56","0,34","0,25","0,56",BRC0417E,Nome não encontrado
Sódio,mg,138,"83,0","62,2",138,BRC0417E,Nome não encontrado
Magnésio,mg,"27,8","16,7","12,5","27,8",BRC0417E,Nome não encontrado
Fósforo,mg,229,137,103,229,BRC0417E,Nome não encontrado
Potássio,mg,332,199,149,332,BRC0417E,Nome não encontrado
Manganês,mg,"0,04","0,03","0,02","0,04",BRC0417E,Nome não encontrado
Zinco,mg,"0,58","0,35","0,26","0,58",BRC0417E,Nome não encontrado
Cobre,mg,"0,09","0,06","0,04","0,09",BRC0417E,Nome não encontrado
Selênio,mcg,"35,0","21,0","15,7","35,0",BRC0417E,Nome não encontrado
Vitamina A (RE),mcg,"31,2","18,7","14,0","31,2",BRC0417E,Nome não encontrado
Vitamina A (RAE),mcg,"30,9","18,6","13,9","30,9",BRC0417E,Nome não encontrado
Vitamina D,mcg,"2,01","1,20","0,90","2,01",BRC0417E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,96","0,57","0,43","0,96",BRC0417E,Nome não encontrado
Tiamina,mg,"0,09","0,06","0,04","0,09",BRC0417E,Nome não encontrado
Riboflavina,mg,"0,11","0,07","0,05","0,11",BRC0417E,Nome não encontrado
Niacina,mg,"3,83","2,30","1,72","3,83",BRC0417E,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0417E,Nome não encontrado
Vitamina B12,mcg,"2,73","1,64","1,23","2,73",BRC0417E,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,BRC0417E,Nome não encontrado
Equivalente de folato,mcg,"14,9","8,94","6,70","14,9",BRC0417E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0417E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0417E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0417E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0417E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0417E,Nome não encontrado
