componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,386,212,BRC0414N,Nome não encontrado
Energia,kcal,92,50,BRC0414N,Nome não encontrado
Umidade,g,"80,4","44,2",BRC0414N,Nome não encontrado
Carboidrato total,g,"4,79","2,64",BRC0414N,Nome não encontrado
Carboidrato disponível,g,"3,53","1,94",BRC0414N,Nome não encontrado
Proteína,g,"10,1","5,55",BRC0414N,Nome não encontrado
Lipídios,g,"3,90","2,15",BRC0414N,Nome não encontrado
Fibra alimentar,g,"1,27","0,70",BRC0414N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0414N,Nome não encontrado
Cinzas,g,"0,81","0,44",BRC0414N,Nome não encontrado
Colesterol,mg,"37,4","20,5",BRC0414N,Nome não encontrado
Ácidos graxos saturados,g,"1,93","1,06",BRC0414N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,30","0,71",BRC0414N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,08",BRC0414N,Nome não encontrado
Ácidos graxos trans,g,"0,11","0,06",BRC0414N,Nome não encontrado
Cálcio,mg,"10,6","5,85",BRC0414N,Nome não encontrado
Ferro,mg,"0,95","0,52",BRC0414N,Nome não encontrado
Sódio,mg,122,"67,2",BRC0414N,Nome não encontrado
Magnésio,mg,"10,5","5,77",BRC0414N,Nome não encontrado
Fósforo,mg,"71,1","39,1",BRC0414N,Nome não encontrado
Potássio,mg,237,130,BRC0414N,Nome não encontrado
Manganês,mg,"0,03","0,02",BRC0414N,Nome não encontrado
Zinco,mg,"2,90","1,59",BRC0414N,Nome não encontrado
Cobre,mg,"0,04","0,02",BRC0414N,Nome não encontrado
Selênio,mcg,"0,16","0,09",BRC0414N,Nome não encontrado
Vitamina A (RE),mcg,270,148,BRC0414N,Nome não encontrado
Vitamina A (RAE),mcg,135,"74,5",BRC0414N,Nome não encontrado
Vitamina D,mcg,"0,97","0,53",BRC0414N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,48","0,26",BRC0414N,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0414N,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0414N,Nome não encontrado
Niacina,mg,"1,29","0,71",BRC0414N,Nome não encontrado
Vitamina B6,mg,"0,06","0,03",BRC0414N,Nome não encontrado
Vitamina B12,mcg,"0,94","0,52",BRC0414N,Nome não encontrado
Vitamina C,mg,"0,93","0,51",BRC0414N,Nome não encontrado
Equivalente de folato,mcg,"6,68","3,68",BRC0414N,Nome não encontrado
Sal de adição,g,"0,25","0,14",BRC0414N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0414N,Nome não encontrado
Gordura de adição,g,-,-,BRC0414N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0414N,Nome não encontrado
Proteína animal,g,-,-,BRC0414N,Nome não encontrado
