componente,unidade,Valor por 100g,Colher sopa cheia (40 g),Colher sopa rasa (25 g),Pedaço/ Unidade/ Fatia (M) (80 g),codigo_alimento,nome_alimento
Energia,kJ,848,339,211,678,BRC0123G,Nome não encontrado
Energia,kcal,201,80,50,160,BRC0123G,Nome não encontrado
Umidade,g,"55,1","22,1","13,8","44,1",BRC0123G,Nome não encontrado
Carboidrato total,g,"33,1","13,2","8,26","26,4",BRC0123G,Nome não encontrado
Carboidrato disponível,g,"33,0","13,2","8,26","26,4",BRC0123G,Nome não encontrado
Proteína,g,"5,69","2,28","1,42","4,55",BRC0123G,Nome não encontrado
Lipídios,g,"5,13","2,05","1,28","4,10",BRC0123G,Nome não encontrado
Fibra alimentar,g,"0,01","0,01","0,00","0,01",BRC0123G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0123G,Nome não encontrado
Cinzas,g,"1,01","0,40","0,25","0,81",BRC0123G,Nome não encontrado
Colesterol,mg,"70,0","28,0","17,5","56,0",BRC0123G,Nome não encontrado
Ácidos graxos saturados,g,"2,69","1,08","0,67","2,15",BRC0123G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,58","0,63","0,39","1,26",BRC0123G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,31","0,12","0,08","0,25",BRC0123G,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,03","0,02","0,07",BRC0123G,Nome não encontrado
Cálcio,mg,137,"55,1","34,4",110,BRC0123G,Nome não encontrado
Ferro,mg,"0,51","0,20","0,13","0,41",BRC0123G,Nome não encontrado
Sódio,mg,"80,4","32,2","20,1","64,3",BRC0123G,Nome não encontrado
Magnésio,mg,"15,6","6,22","3,89","12,4",BRC0123G,Nome não encontrado
Fósforo,mg,126,"50,5","31,6",101,BRC0123G,Nome não encontrado
Potássio,mg,202,"81,0","50,6",162,BRC0123G,Nome não encontrado
Manganês,mg,"0,19","0,07","0,05","0,15",BRC0123G,Nome não encontrado
Zinco,mg,"0,65","0,26","0,16","0,52",BRC0123G,Nome não encontrado
Cobre,mg,"0,03","0,01","0,01","0,02",BRC0123G,Nome não encontrado
Selênio,mcg,"9,74","3,90","2,44","7,79",BRC0123G,Nome não encontrado
Vitamina A (RE),mcg,"57,6","23,0","14,4","46,1",BRC0123G,Nome não encontrado
Vitamina A (RAE),mcg,"56,9","22,8","14,2","45,5",BRC0123G,Nome não encontrado
Vitamina D,mcg,"0,38","0,15","0,10","0,30",BRC0123G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,22","0,09","0,06","0,18",BRC0123G,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,01","0,03",BRC0123G,Nome não encontrado
Riboflavina,mg,"0,25","0,10","0,06","0,20",BRC0123G,Nome não encontrado
Niacina,mg,"0,49","0,19","0,12","0,39",BRC0123G,Nome não encontrado
Vitamina B6,mg,"0,18","0,07","0,05","0,15",BRC0123G,Nome não encontrado
Vitamina B12,mcg,"0,45","0,18","0,11","0,36",BRC0123G,Nome não encontrado
Vitamina C,mg,"0,53","0,21","0,13","0,43",BRC0123G,Nome não encontrado
Equivalente de folato,mcg,"12,4","4,97","3,10","9,93",BRC0123G,Nome não encontrado
Sal de adição,g,,,,,BRC0123G,Nome não encontrado
Açúcar de adição,g,,,,,BRC0123G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0123G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0123G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0123G,Nome não encontrado
