componente,unidade,Valor por 100g,Concha cheia (150 g),codigo_alimento,nome_alimento
Energia,kJ,504,756,BRC0223F,Nome não encontrado
Energia,kcal,120,179,BRC0223F,Nome não encontrado
Umidade,g,"75,3",112,BRC0223F,Nome não encontrado
Carboidrato total,g,"0,23","0,34",BRC0223F,Nome não encontrado
Carboidrato disponível,g,"0,23","0,34",BRC0223F,Nome não encontrado
Proteína,g,"19,8","29,7",BRC0223F,Nome não encontrado
Lipídios,g,"4,44","6,66",BRC0223F,Nome não encontrado
Fibra alimentar,g,,-,BRC0223F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0223F,Nome não encontrado
Cinzas,g,"0,29","0,44",BRC0223F,Nome não encontrado
Colesterol,mg,144,216,BRC0223F,Nome não encontrado
Ácidos graxos saturados,g,"2,50","3,75",BRC0223F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,20","1,80",BRC0223F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,15",BRC0223F,Nome não encontrado
Ácidos graxos trans,g,"0,20","0,30",BRC0223F,Nome não encontrado
Cálcio,mg,"11,3","17,0",BRC0223F,Nome não encontrado
Ferro,mg,"1,01","1,52",BRC0223F,Nome não encontrado
Sódio,mg,"28,8","43,2",BRC0223F,Nome não encontrado
Magnésio,mg,"8,25","12,4",BRC0223F,Nome não encontrado
Fósforo,mg,"57,1","85,7",BRC0223F,Nome não encontrado
Potássio,mg,"57,6","86,4",BRC0223F,Nome não encontrado
Manganês,mg,"0,11","0,16",BRC0223F,Nome não encontrado
Zinco,mg,"2,72","4,08",BRC0223F,Nome não encontrado
Cobre,mg,"0,06","0,08",BRC0223F,Nome não encontrado
Selênio,mcg,,-,BRC0223F,Nome não encontrado
Vitamina A (RE),mcg,,-,BRC0223F,Nome não encontrado
Vitamina A (RAE),mcg,,-,BRC0223F,Nome não encontrado
Vitamina D,mcg,,-,BRC0223F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,-,BRC0223F,Nome não encontrado
Tiamina,mg,traços,traços,BRC0223F,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0223F,Nome não encontrado
Niacina,mg,"4,27","6,40",BRC0223F,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0223F,Nome não encontrado
Vitamina B12,mcg,,-,BRC0223F,Nome não encontrado
Vitamina C,mg,,-,BRC0223F,Nome não encontrado
Equivalente de folato,mcg,,-,BRC0223F,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0223F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0223F,Nome não encontrado
Gordura de adição,g,-,-,BRC0223F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0223F,Nome não encontrado
Proteína animal,g,-,-,BRC0223F,Nome não encontrado
