componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,613,613,BRC0059J,Nome não encontrado
Energia,kcal,148,147,BRC0059J,Nome não encontrado
Umidade,g,"75,1","75,1",BRC0059J,Nome não encontrado
Carboidrato total,g,"2,94","2,94",BRC0059J,Nome não encontrado
Carboidrato disponível,g,"2,35","2,35",BRC0059J,Nome não encontrado
Proteína,g,"10,1","10,1",BRC0059J,Nome não encontrado
Lipídios,g,"10,7","10,7",BRC0059J,Nome não encontrado
Fibra alimentar,g,"0,59","0,59",BRC0059J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0059J,Nome não encontrado
Cinzas,g,"1,13","1,13",BRC0059J,Nome não encontrado
Colesterol,mg,237,237,BRC0059J,Nome não encontrado
Ácidos graxos saturados,g,"3,67","3,67",BRC0059J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,45","3,45",BRC0059J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,04","2,04",BRC0059J,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,09",BRC0059J,Nome não encontrado
Cálcio,mg,122,122,BRC0059J,Nome não encontrado
Ferro,mg,"1,27","1,27",BRC0059J,Nome não encontrado
Sódio,mg,157,157,BRC0059J,Nome não encontrado
Magnésio,mg,"18,2","18,2",BRC0059J,Nome não encontrado
Fósforo,mg,154,154,BRC0059J,Nome não encontrado
Potássio,mg,155,155,BRC0059J,Nome não encontrado
Manganês,mg,"0,19","0,19",BRC0059J,Nome não encontrado
Zinco,mg,"1,27","1,27",BRC0059J,Nome não encontrado
Cobre,mg,"0,07","0,07",BRC0059J,Nome não encontrado
Selênio,mcg,"11,4","11,4",BRC0059J,Nome não encontrado
Vitamina A (RE),mcg,176,176,BRC0059J,Nome não encontrado
Vitamina A (RAE),mcg,146,146,BRC0059J,Nome não encontrado
Vitamina D,mcg,"1,25","1,25",BRC0059J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,60","1,60",BRC0059J,Nome não encontrado
Tiamina,mg,"0,06","0,06",BRC0059J,Nome não encontrado
Riboflavina,mg,"0,41","0,41",BRC0059J,Nome não encontrado
Niacina,mg,"0,44","0,44",BRC0059J,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0059J,Nome não encontrado
Vitamina B12,mcg,"0,77","0,77",BRC0059J,Nome não encontrado
Vitamina C,mg,"0,70","0,70",BRC0059J,Nome não encontrado
Equivalente de folato,mcg,"48,4","48,4",BRC0059J,Nome não encontrado
Sal de adição,g,,,BRC0059J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0059J,Nome não encontrado
Gordura de adição,g,-,-,BRC0059J,Nome não encontrado
Proteína vegetal,g,-,-,BRC0059J,Nome não encontrado
Proteína animal,g,-,-,BRC0059J,Nome não encontrado
