componente,unidade,Valor por 100g,Colher sopa cheia (15 g),codigo_alimento,nome_alimento
Energia,kJ,106,15,BRC0078B,Nome não encontrado
Energia,kcal,25,3,BRC0078B,Nome não encontrado
Umidade,g,"90,3","13,5",BRC0078B,Nome não encontrado
Carboidrato total,g,"4,69","0,70",BRC0078B,Nome não encontrado
Carboidrato disponível,g,"1,57","0,24",BRC0078B,Nome não encontrado
Proteína,g,"2,44","0,37",BRC0078B,Nome não encontrado
Lipídios,g,"0,34","0,05",BRC0078B,Nome não encontrado
Fibra alimentar,g,"3,12","0,47",BRC0078B,Nome não encontrado
Álcool,g,-,-,BRC0078B,Nome não encontrado
Cinzas,g,"2,20","0,33",BRC0078B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0078B,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,01",BRC0078B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,BRC0078B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,01",BRC0078B,Nome não encontrado
Ácidos graxos trans,g,traços,traços,BRC0078B,Nome não encontrado
Cálcio,mg,"45,4","6,80",BRC0078B,Nome não encontrado
Ferro,mg,"0,24","0,04",BRC0078B,Nome não encontrado
Sódio,mg,538,"80,7",BRC0078B,Nome não encontrado
Magnésio,mg,"29,6","4,44",BRC0078B,Nome não encontrado
Fósforo,mg,"47,6","7,14",BRC0078B,Nome não encontrado
Potássio,mg,225,"33,8",BRC0078B,Nome não encontrado
Manganês,mg,"5,48","0,82",BRC0078B,Nome não encontrado
Zinco,mg,"0,52","0,08",BRC0078B,Nome não encontrado
Cobre,mg,"0,15","0,02",BRC0078B,Nome não encontrado
Selênio,mcg,"0,60","0,09",BRC0078B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0078B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0078B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0078B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0078B,Nome não encontrado
Tiamina,mg,"0,05","0,01",BRC0078B,Nome não encontrado
Riboflavina,mg,"0,02","0,00",BRC0078B,Nome não encontrado
Niacina,mg,traços,traços,BRC0078B,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0078B,Nome não encontrado
Vitamina B12,mcg,,,BRC0078B,Nome não encontrado
Vitamina C,mg,"5,32","0,80",BRC0078B,Nome não encontrado
Equivalente de folato,mcg,"38,5","5,77",BRC0078B,Nome não encontrado
Sal de adição,g,,,BRC0078B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0078B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0078B,Nome não encontrado
Proteína vegetal,g,"2,44","0,37",BRC0078B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0078B,Nome não encontrado
