componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,133,265,BRC0063H,Nome não encontrado
Energia,kcal,31,62,BRC0063H,Nome não encontrado
Umidade,g,"92,0",183,BRC0063H,Nome não encontrado
Carboidrato total,g,"7,16","14,3",BRC0063H,Nome não encontrado
Carboidrato disponível,g,"7,16","14,3",BRC0063H,Nome não encontrado
Proteína,g,"0,53","1,05",BRC0063H,Nome não encontrado
Lipídios,g,"0,05","0,11",BRC0063H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0063H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0063H,Nome não encontrado
Cinzas,g,"0,30","0,61",BRC0063H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0063H,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,01",BRC0063H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,04","0,08",BRC0063H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0063H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0063H,Nome não encontrado
Cálcio,mg,"5,13","10,3",BRC0063H,Nome não encontrado
Ferro,mg,"0,13","0,26",BRC0063H,Nome não encontrado
Sódio,mg,"1,52","3,04",BRC0063H,Nome não encontrado
Magnésio,mg,"8,90","17,8",BRC0063H,Nome não encontrado
Fósforo,mg,"7,90","15,8",BRC0063H,Nome não encontrado
Potássio,mg,127,255,BRC0063H,Nome não encontrado
Manganês,mg,"0,15","0,30",BRC0063H,Nome não encontrado
Zinco,mg,"0,01","0,02",BRC0063H,Nome não encontrado
Cobre,mg,"0,01","0,02",BRC0063H,Nome não encontrado
Selênio,mcg,,,BRC0063H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0063H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0063H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0063H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,05",BRC0063H,Nome não encontrado
Tiamina,mg,"0,01","0,02",BRC0063H,Nome não encontrado
Riboflavina,mg,"0,06","0,12",BRC0063H,Nome não encontrado
Niacina,mg,"0,14","0,29",BRC0063H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0063H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0063H,Nome não encontrado
Vitamina C,mg,traços,,BRC0063H,Nome não encontrado
Equivalente de folato,mcg,"1,50","3,01",BRC0063H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0063H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0063H,Nome não encontrado
Gordura de adição,g,-,-,BRC0063H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0063H,Nome não encontrado
Proteína animal,g,-,-,BRC0063H,Nome não encontrado
