componente,unidade,Valor por 100g,Porção Média (50 g),codigo_alimento,nome_alimento
Energia,kJ,189,94,BRC0204C,Nome não encontrado
Energia,kcal,45,22,BRC0204C,Nome não encontrado
Umidade,g,"85,8","42,9",BRC0204C,Nome não encontrado
Carboidrato total,g,"11,9","5,97",BRC0204C,Nome não encontrado
Carboidrato disponível,g,"5,44","2,72",BRC0204C,Nome não encontrado
Proteína,g,"1,20","0,60",BRC0204C,Nome não encontrado
Lipídios,g,"0,65","0,33",BRC0204C,Nome não encontrado
Fibra alimentar,g,"6,50","3,25",BRC0204C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0204C,Nome não encontrado
Cinzas,g,"0,46","0,23",BRC0204C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0204C,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,10",BRC0204C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,06","0,03",BRC0204C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,38","0,19",BRC0204C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0204C,Nome não encontrado
Cálcio,mg,"25,0","12,5",BRC0204C,Nome não encontrado
Ferro,mg,"0,69","0,35",BRC0204C,Nome não encontrado
Sódio,mg,"1,00","0,50",BRC0204C,Nome não encontrado
Magnésio,mg,"22,0","11,0",BRC0204C,Nome não encontrado
Fósforo,mg,"29,0","14,5",BRC0204C,Nome não encontrado
Potássio,mg,151,"75,5",BRC0204C,Nome não encontrado
Manganês,mg,"0,67","0,34",BRC0204C,Nome não encontrado
Zinco,mg,"0,42","0,21",BRC0204C,Nome não encontrado
Cobre,mg,"0,09","0,05",BRC0204C,Nome não encontrado
Selênio,mcg,"0,20","0,10",BRC0204C,Nome não encontrado
Vitamina A (RE),mcg,,traços,BRC0204C,Nome não encontrado
Vitamina A (RAE),mcg,"2,00","1,00",BRC0204C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0204C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,87","0,44",BRC0204C,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0204C,Nome não encontrado
Riboflavina,mg,"0,04","0,02",BRC0204C,Nome não encontrado
Niacina,mg,"0,60","0,30",BRC0204C,Nome não encontrado
Vitamina B6,mg,"0,06","0,03",BRC0204C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0204C,Nome não encontrado
Vitamina C,mg,"26,2","13,1",BRC0204C,Nome não encontrado
Equivalente de folato,mcg,"21,0","10,5",BRC0204C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0204C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0204C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0204C,Nome não encontrado
Proteína vegetal,g,"1,20","0,60",BRC0204C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0204C,Nome não encontrado
