componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,734,733,BRC0054J,Nome não encontrado
Energia,kcal,176,176,BRC0054J,Nome não encontrado
Umidade,g,"69,4","69,4",BRC0054J,Nome não encontrado
Carboidrato total,g,"2,31","2,31",BRC0054J,Nome não encontrado
Carboidrato disponível,g,"2,09","2,09",BRC0054J,Nome não encontrado
Proteína,g,"14,6","14,6",BRC0054J,Nome não encontrado
Lipídios,g,"12,1","12,1",BRC0054J,Nome não encontrado
Fibra alimentar,g,"0,22","0,22",BRC0054J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0054J,Nome não encontrado
Cinzas,g,"1,57","1,57",BRC0054J,Nome não encontrado
Colesterol,mg,268,268,BRC0054J,Nome não encontrado
Ácidos graxos saturados,g,"3,65","3,65",BRC0054J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,22","4,22",BRC0054J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,96","2,96",BRC0054J,Nome não encontrado
Ácidos graxos trans,g,"0,07","0,07",BRC0054J,Nome não encontrado
Cálcio,mg,"36,9","36,9",BRC0054J,Nome não encontrado
Ferro,mg,"1,91","1,91",BRC0054J,Nome não encontrado
Sódio,mg,349,349,BRC0054J,Nome não encontrado
Magnésio,mg,"13,9","13,9",BRC0054J,Nome não encontrado
Fósforo,mg,164,164,BRC0054J,Nome não encontrado
Potássio,mg,214,214,BRC0054J,Nome não encontrado
Manganês,mg,"0,06","0,06",BRC0054J,Nome não encontrado
Zinco,mg,"2,92","2,92",BRC0054J,Nome não encontrado
Cobre,mg,"0,08","0,08",BRC0054J,Nome não encontrado
Selênio,mcg,"11,5","11,5",BRC0054J,Nome não encontrado
Vitamina A (RE),mcg,133,133,BRC0054J,Nome não encontrado
Vitamina A (RAE),mcg,124,124,BRC0054J,Nome não encontrado
Vitamina D,mcg,"1,33","1,33",BRC0054J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,33","1,33",BRC0054J,Nome não encontrado
Tiamina,mg,"0,08","0,08",BRC0054J,Nome não encontrado
Riboflavina,mg,"0,44","0,44",BRC0054J,Nome não encontrado
Niacina,mg,"1,52","1,52",BRC0054J,Nome não encontrado
Vitamina B6,mg,"0,03","0,03",BRC0054J,Nome não encontrado
Vitamina B12,mcg,"1,42","1,42",BRC0054J,Nome não encontrado
Vitamina C,mg,"1,43","1,43",BRC0054J,Nome não encontrado
Equivalente de folato,mcg,"27,1","27,1",BRC0054J,Nome não encontrado
Sal de adição,g,"0,47","0,47",BRC0054J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0054J,Nome não encontrado
Gordura de adição,g,-,-,BRC0054J,Nome não encontrado
Proteína vegetal,g,-,-,BRC0054J,Nome não encontrado
Proteína animal,g,-,-,BRC0054J,Nome não encontrado
